abbassare,abbasso,abbassi,abbassa,abbassiamo,abbassate,abbassano
accendere,accendo,accendi,accende,accendiamo,accendete,accendono
affittare,affitto,affitti,affitta,affittiamo,affittate,affittano
aggiungere,aggiungo,aggiungi,aggiunge,aggiungiamo,aggiungete,aggiungono
aiutare,aiuto,aiuti,aiuta,aiutiamo,aiutate,aiutano
allenare,alleno,alleni,allena,alleniamo,allenate,allenano
amare,amo,ami,ama,amiamo,amate,amano
andare,vo,vai,va,andiamo,andate,vanno
appartenere,appartengo,appartieni,appartiene,apparteniamo,appartenete,appartengono
aprire,apro,apri,apre,apriamo,aprite,aprono
arrivare,arrivo,arrivi,arriva,arriviamo,arrivate,arrivano
arrostire,arrostisco,arrostisci,arrostisce,arrostiamo,arrostite,arrostiscono
asciugare,asciugo,asciughi,asciuga,asciughiamo,asciugate,asciugano
ascoltare,ascolto,ascolti,ascolta,ascoltiamo,ascoltate,ascoltano
aspettare,aspetto,aspetti,aspetta,aspettiamo,aspettate,aspettano
attraversare,attraverso,attraversi,attraversa,attraversiamo,attraversate,attraversano
avere,ho,hai,ha,abbiamo,avete,hanno
baciare,bacio,baci,bacia,baciamo,baciate,baciano
ballare,ballo,balli,balla,balliamo,ballate,ballano
bere,bevo,bevi,beve,beviamo,bevete,bevono
bollire,bollisco,bollisci,bollisce,bolliamo,bollite,bolliscono
bruciare,brucio,bruci,brucia,bruciamo,bruciate,bruciano
cadere,cado,cadi,cade,cadiamo,cadete,cadono
cambiare,cambio,cambi,cambia,cambiamo,cambiate,cambiano
camminare,cammino,cammini,cammina,camminiamo,camminate,camminano
cantare,canto,canti,canta,cantiamo,cantate,cantano
capire,capisco,capisci,capisce,capiamo,capite,capiscono
cercare,cerco,cerchi,cerca,cerchiamo,cercate,cercano
chiamare,chiamo,chiami,chiama,chiamiamo,chiamate,chiamano
chiedere,chiedo,chiedi,chiede,chiediamo,chiedete,chiedono
chiudere,chiudo,chiudi,chiude,chiudiamo,chiudete,chiudono
colpire,colpisco,colpisci,colpisce,colpiamo,colpite,colpiscono
coltivare,coltivo,coltivi,coltiva,coltiviamo,coltivate,coltivano
cominciare,comincio,cominci,comincia,cominciamo,cominciate,cominciano
comprare,compro,compri,compra,compriamo,comprate,comprano
concordare,concordo,concordi,concorda,concordiamo,concordate,concordano
confondere,confondo,confondi,confonde,confondiamo,confondete,confondono
conoscere,conosco,conosci,conosce,conosciamo,conoscete,conoscono
controllare,controllo,controlli,controlla,controlliamo,controllate,controllano
correre,corro,corri,corre,corriamo,correte,corrono
costare,costo,costi,costa,costiamo,costate,costano
costruire,costruisco,costruisci,costruisce,costruiamo,costruite,costruiscono
credere,credo,credi,crede,crediamo,credete,credono
crescere,cresco,cresci,cresce,cresciamo,crescete,crescono
cucinare,cucino,cucini,cucina,cuciniamo,cucinate,cucinano
dare,do,dai,da,diamo,date,danno
decidere,decido,decidi,decide,decidiamo,decidete,decidono
descrivere,descrivo,descrivi,descrive,descriviamo,descrivete,descrivono
dimenticare,dimentico,dimentichi,dimentica,dimentichiamo,dimenticate,dimenticano
dimostrare,dimostro,dimostri,dimostra,dimostriamo,dimostrate,dimostrano
dipingere,dipingo,dipingi,dipinge,dipingiamo,dipingete,dipingono
dire,dico,dici,dice,diciamo,dite,dicono
disegnare,disegno,disegni,disegna,disegniamo,disegnate,disegnano
diventare,divento,diventi,diventa,diventiamo,diventate,diventano
dormire,dormo,dormi,dorme,dormiamo,dormite,dormono
dovere,devo,devi,deve,dobbiamo,dovete,devono
entrare,entro,entri,entra,entriamo,entrate,entrano
esercitare,esercito,eserciti,esercita,esercitiamo,esercitate,esercitano
esplorare,esploro,esplori,esplora,esploriamo,esplorate,esplorano
esprimere,esprimo,esprimi,esprime,esprimiamo,esprimete,esprimono
essere,sono,sei,e,siamo,siete,sono
fallire,fallisco,fallisci,fallisce,falliamo,fallite,falliscono
fare,faccio,fai,fa,facciamo,fate,fanno
ferire,ferisco,ferisci,ferisce,feriamo,ferite,feriscono
fermare,fermo,fermi,ferma,fermiamo,fermate,fermano
filmare,filmo,filmi,filma,filmiamo,filmate,filmano
finire,finisco,finisci,finisce,finiamo,finite,finiscono
fotografare,fotografo,fotografi,fotografa,fotografiamo,fotografate,fotografano
friggere,friggo,friggi,frigge,friggiamo,friggete,friggono
fumare,fumo,fumi,fuma,fumiamo,fumate,fumano
giocare,gioco,giochi,gioca,giochiamo,giocate,giocano
girare,giro,giri,gira,giriamo,girate,girano
giudicare,giudico,giudichi,giudica,giudichiamo,giudicate,giudicano
gridare,grido,gridi,grida,gridiamo,gridate,gridano
guadagnare,guadagno,guadagni,guadagna,guadagniamo,guadagnate,guadagnano
guardare,guardo,guardi,guarda,guardiamo,guardate,guardano
guidare,guido,guidi,guida,guidiamo,guidate,guidano
imparare,imparo,impari,impara,impariamo,imparate,imparano
includere,includo,includi,include,includiamo,includete,includono
incontrare,incontro,incontri,incontra,incontriamo,incontrate,incontrano
indicare,indico,indichi,indica,indichiamo,indicate,indicano
indossare,indosso,indossi,indossa,indossiamo,indossate,indossano
iniziare,inizio,inizi,inizia,iniziamo,iniziate,iniziano
insegnare,insegno,insegni,insegna,insegniamo,insegnate,insegnano
insistere,insisto,insisti,insiste,insistiamo,insistete,insistono
inviare,invio,invii,invia,inviamo,inviate,inviano
invitare,invito,inviti,invita,invitiamo,invitate,invitano
lasciare,lascio,lasci,lascia,lasciamo,lasciate,lasciano
lavare,lavo,lavi,lava,laviamo,lavate,lavano
lavorare,lavoro,lavori,lavora,lavoriamo,lavorate,lavorano
leggere,leggo,leggi,legge,leggiamo,leggete,leggono
mancare,manco,manchi,manca,manchiamo,mancate,mancano
mandare,mando,mandi,manda,mandiamo,mandate,mandano
mangiare,mangio,mangi,mangia,mangiamo,mangiate,mangiano
mentire,mento,menti,mente,mentiamo,mentite,mentono
mettere,metto,metti,mette,mettiamo,mettete,mettono
migliorare,miglioro,migliori,migliora,miglioriamo,migliorate,migliorano
morire,muoio,muori,muore,moriamo,morite,muoiono
nevicare,nevico,nevichi,nevica,nevichiamo,nevicate,nevicano
nuotare,nuoto,nuoti,nuota,nuotiamo,nuotate,nuotano
odiare,odio,odii,odia,odiamo,odiate,odiano
offrire,offro,offri,offre,offriamo,offrite,offrono
pagare,pago,paghi,paga,paghiamo,pagate,pagano
parcheggiare,parcheggio,parcheggi,parcheggia,parcheggiamo,parcheggiate,parcheggiano
parlare,parlo,parli,parla,parliamo,parlate,parlano
passare,passo,passi,passa,passiamo,passate,passano
pensare,penso,pensi,pensa,pensiamo,pensate,pensano
perdere,perdo,perdi,perde,perdiamo,perdete,perdono
permettere,permetto,permetti,permette,permettiamo,permettete,permettono
pescare,pesco,peschi,pesca,peschiamo,pescate,pescano
piacere,piaccio,piaci,piace,piacciamo,piacete,piacciono
piangere,piango,piangi,piange,piangiamo,piangete,piangono
pianificare,pianifico,pianifichi,pianifica,pianifichiamo,pianificate,pianificano
piovere,piovo,piovi,piove,pioviamo,piovete,piovono
porre,pongo,poni,pone,poniamo,ponete,pongono
portare,porto,porti,porta,portiamo,portate,portano
potere,posso,puoi,puo,possiamo,potete,possono
preferire,preferisco,preferisci,preferisce,preferiamo,preferite,preferiscono
pregare,prego,preghi,prega,preghiamo,pregate,pregano
premere,premo,premi,preme,premiamo,premete,premono
prendere,prendo,prendi,prende,prendiamo,prendete,prendono
prenotare,prenoto,prenoti,prenota,prenotiamo,prenotate,prenotano
preoccupare,preoccupo,preoccupi,preoccupa,preoccupiamo,preoccupate,preoccupano
prestare,presto,presti,presta,prestiamo,prestate,prestano
produrre,produco,produci,produce,produciamo,producete,producono
provare,provo,provi,prova,proviamo,provate,provano
pulire,pulisco,pulisci,pulisce,puliamo,pulite,puliscono
ricercare,ricerco,ricerchi,ricerca,ricerchiamo,ricercate,ricercano
ricevere,ricevo,ricevi,riceve,riceviamo,ricevete,ricevono
riconoscere,riconosco,riconosci,riconosce,riconosciamo,riconoscete,riconoscono
ricordare,ricordo,ricordi,ricorda,ricordiamo,ricordate,ricordano
ridere,rido,ridi,ride,ridiamo,ridete,ridono
riempire,riempio,riempi,riempie,riempiamo,riempiete,riempiono
rimanere,rimango,rimani,rimane,rimaniamo,rimanete,rimangono
ringraziare,ringrazio,ringrazi,ringrazia,ringraziamo,ringraziate,ringraziano
riparare,riparo,ripari,ripara,ripariamo,riparate,riparano
riposare,riposo,riposi,riposa,riposiamo,riposate,riposano
rispondere,rispondo,rispondi,risponde,rispondiamo,rispondete,rispondono
ritornare,ritorno,ritorni,ritorna,ritorniamo,ritornate,ritornano
rompere,rompo,rompi,rompe,rompiamo,rompete,rompono
rubare,rubo,rubi,ruba,rubiamo,rubate,rubano
saltare,salto,salti,salta,saltiamo,saltate,saltano
salvare,salvo,salvi,salva,salviamo,salvate,salvano
sapere,so,sai,sa,sappiamo,sapete,sanno
scegliere,scelgo,scegli,sceglie,scegliamo,scegliete,scelgono
scrivere,scrivo,scrivi,scrive,scriviamo,scrivete,scrivono
scusare,scuso,scusi,scusa,scusiamo,scusate,scusano
sedere,siedo,siedi,siede,sediamo,sedete,siedono
seguire,seguo,segui,segue,seguiamo,seguite,seguono
sentire,sento,senti,sente,sentiamo,sentite,sentono
significare,significo,significhi,significa,significhiamo,significate,significano
sognare,sogno,sogni,sogna,sogniamo,sognate,sognano
sorridere,sorrido,sorridi,sorride,sorridiamo,sorridete,sorridono
spaventare,spavento,spaventi,spaventa,spaventiamo,spaventate,spaventano
spiegare,spiego,spieghi,spiega,spieghiamo,spiegate,spiegano
spingere,spingo,spingi,spinge,spingiamo,spingete,spingono
spostare,sposto,sposti,sposta,spostiamo,spostate,spostano
stampare,stampo,stampi,stampa,stampiamo,stampate,stampano
stare,sto,stai,sta,stiamo,state,stanno
studiare,studio,studii,studia,studiamo,studiate,studiano
succedere,succedo,succedi,succede,succediamo,succedete,succedono
suonare,suono,suoni,suona,suoniamo,suonate,suonano
supporre,suppongo,supponi,suppone,supponiamo,supponete,suppongono
svuotare,svuoto,svuoti,svuota,svuotiamo,svuotate,svuotano
tagliare,taglio,tagli,taglia,tagliamo,tagliate,tagliano
telefonare,telefono,telefoni,telefona,telefoniamo,telefonate,telefonano
tenere,tengo,tieni,tiene,teniamo,tenete,tengono
tentare,tento,tenti,tenta,tentiamo,tentate,tentano
tirare,tiro,tiri,tira,tiriamo,tirate,tirano
toccare,tocco,tocchi,tocca,tocchiamo,toccate,toccano
trovare,trovo,trovi,trova,troviamo,trovate,trovano
unire,unisco,unisci,unisce,uniamo,unite,uniscono
usare,uso,usi,usa,usiamo,usate,usano
vedere,vedo,vedi,vede,vediamo,vedete,vedono
vendere,vendo,vendi,vende,vendiamo,vendete,vendono
venire,vengo,vieni,viene,veniamo,venite,vengono
vestire,vesto,vesti,veste,vestiamo,vestite,vestono
viaggiare,viaggio,viaggi,viaggia,viaggiamo,viaggiate,viaggiano
vincere,vinco,vinci,vince,vinciamo,vincete,vincono
visitare,visito,visiti,visita,visitiamo,visitate,visitano
vivere,vivo,vivi,vive,viviamo,vivete,vivono
volare,volo,voli,vola,voliamo,volate,volano
volere,voglio,vuoi,vuole,vogliamo,volete,vogliono
votare,voto,voti,vota,votiamo,votate,votano
